ean,nome,atributos_extraidos,status
7908141235462,Guarda Roupa Casal 270cm 4 Portas Jacarandá Flex Off/Freijó - Albatroz,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '57 cm', 'peso': '215 kg'}",sucesso
7908141235479,Guarda Roupa Casal 270cm 4 Espelhos Jacarandá Flex Off/Freijó - Albatroz,"{'largura': '270 cm', 'altura': '235 cm', 'profundidade': '57 cm', 'peso': '225 kg'}",sucesso
7908141236230,Guarda Roupa Casal 240cm Ripado 6 Portas Doble Off/Freijó - Albatroz,"{'largura': '240 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '140 kg'}",sucesso
7908141234366,Guarda Roupa Casal 240cm Ripado 6 Portas Doble Freijó/Titanium - Albatroz,"{'largura': '240 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '140 kg'}",sucesso
7908141236285,Guarda Roupa Casal 240cm com Espelho Doble Off/Freijó - Albatroz,"{'largura': '240 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '145 kg'}",sucesso
7908141234410,Guarda Roupa Casal 240cm com Espelho Doble Freijó/Titanium - Albatroz,"{'largura': '240 cm', 'altura': '230 cm', 'profundidade': '47 cm', 'peso': '145 kg'}",sucesso
7908141236292,Guarda Roupa Casal 212cm 4 Portas Vivacce Off/Freijó - Albatroz,"{'largura': '157 cm', 'altura': '217 cm', 'profundidade': '47 cm', 'peso': '86 kg'}",sucesso
7908141234526,Guarda Roupa Casal 212cm 4 Portas Vivacce Freijó/Titanium - Albatroz,"{'largura': '157 cm', 'altura': '217 cm', 'profundidade': '47 cm', 'peso': '86 kg'}",sucesso
7908141236346,Guarda Roupa Casal 212cm com Espelho Vivacce Off/Freijó - Albatroz,"{'largura': '157 cm', 'altura': '217 cm', 'profundidade': '47 cm', 'peso': '91 kg'}",sucesso
7908141234571,Guarda Roupa Casal 212cm com Espelho Vivacce Freijó/Titanium - Albatroz,"{'largura': '157 cm', 'altura': '217 cm', 'profundidade': '47 cm', 'peso': '91 kg'}",sucesso
7908141233772,Guarda Roupa Solteiro 120cm 3 Portas Ipê Cinamomo/Branco - Albatroz,"{'largura': '120 cm', 'altura': '195 cm', 'profundidade': '47 cm', 'peso': '90 kg'}",sucesso
7908816369874,Cômoda Para Quarto 7 Gavetas 160cm Fontaine A02 Cinamomo - Mpozenato,"{'largura': '160 cm', 'altura': '110 cm', 'profundidade': '45 cm', 'peso': '71 kg'}",sucesso
7908816369881,Cômoda Para Quarto 7 Gavetas 160cm Fontaine A02 Off/Cinamomo - Mpozenato,"{'largura': '160 cm', 'altura': '110 cm', 'profundidade': '45 cm', 'peso': '71 kg'}",sucesso
7908816369898,Cômoda Para Quarto 7 Gavetas 160cm Fontaine A02 Off/Freijó - Mpozenato,"{'largura': '160 cm', 'altura': '110 cm', 'profundidade': '45 cm', 'peso': '71 kg'}",sucesso
7908816369904,Cômoda Para Quarto 7 Gavetas 160cm Fontaine A02 Freijó/Titanium - Mpozenato,"{'largura': '160 cm', 'altura': '110 cm', 'profundidade': '45 cm', 'peso': '71 kg'}",sucesso
