ean,prazo_erp,prazo_marketplace,diferenca,status
62089,3,45,42,divergente
140730,3,45,42,divergente
140746,3,45,42,divergente
139458,3,45,42,divergente
110140,3,45,42,divergente
74712,3,45,42,divergente
660045433,3,45,42,divergente
107787,3,45,42,divergente
660045188,3,45,42,divergente
62091,3,45,42,divergente
199467,30,3,-27,divergente
199469,30,3,-27,divergente
199471,30,3,-27,divergente
199465,30,3,-27,divergente
198898,25,3,-22,divergente
201914,25,3,-22,divergente
82672,25,3,-22,divergente
198911,25,3,-22,divergente
106696,25,3,-22,divergente
106724,25,3,-22,divergente
106704,25,3,-22,divergente
106688,25,3,-22,divergente
55212,25,3,-22,divergente
201919,3,25,22,divergente
55208,25,3,-22,divergente
106692,25,3,-22,divergente
68308,3,25,22,divergente
202449,25,3,-22,divergente
106728,25,3,-22,divergente
660044486,25,3,-22,divergente
106700,25,3,-22,divergente
106732,25,3,-22,divergente
68130,3,20,17,divergente
84668,3,20,17,divergente
38604,3,20,17,divergente
84990,3,20,17,divergente
202411,20,5,-15,divergente
200907,3,15,12,divergente
107228,3,15,12,divergente
202904,3,15,12,divergente
78627,3,10,7,divergente
200828,8,3,-5,divergente
660046095,3,7,4,divergente
51160,7,3,-4,divergente
62700,7,3,-4,divergente
67930,3,7,4,divergente
51166,7,3,-4,divergente
68134,3,7,4,divergente
108267,7,3,-4,divergente
134043,7,3,-4,divergente
660046089,3,7,4,divergente
64766,7,3,-4,divergente
68120,3,7,4,divergente
107424,3,7,4,divergente
